,label,text
17176,sarcasm,Sin duda Justin y Selena son perfectos el uno para el otro... El playback les sale super bien a los dos. <hashtags>
9559,fact,EP Obama casi duplica en julio los dólares recaudados por McCain para la campaña: El candidato demócrat.. <link>
16646,sarcasm,nombre tu crees??  Sarcasmo RT“ <mention> y esa misma gente fue la q le dio ese poder!! pero no escucharon las advertencias!!”
18775,sarcasm,Me encanta que me pichen los text :-) <hashtags>
24767,sarcasm,"Los de Córdoba van a tener la suerte de que como el Córdoba nunca gana nada, pueden estar tranquilos hasta la próxima Eurocopa. <hashtags>"
5823,fact,Messi hace bueno al Barça: Javier Marías cuenta que ningún equipo percibe mejor la derrota que el Barça. Ya sea .. <link>
8744,fact,El Dow Jones se suma a las pérdidas en su apertura: Las bolsas europeas han reaccionado con pánico al anu.. <link>
22219,sarcasm,"Con cualquiera de los 4 que nos toque a México le irá muy bien, todos prometieron cosas chingonas. Yo no se de que se quejan. <hashtags>"
20593,sarcasm,No te preocupes que si te ahogas el Gobierno te lanza un flotador... <hashtags> <pic>
19656,sarcasm,*lloro con arr...* RT <mention> Animo ! Aun quedan Las elecciones del 2019 y el Mundial 2018 ! <hashtags>
17257,sarcasm,A veces pienso que todo el mundo está loco... <hashtags> <pic>
22720,sarcasm, personasguapasdelapremex la sirena <hashtags>
18034,sarcasm,Gracias por otra alegria Sarmiento de mi corazonn. Felicitaciones nacho cacheiro amigo mio desde la infancia!! <hashtags>
22395,sarcasm,"Los rojos deseamos por encima de todo que España vuelva a ser una república, porque no hay cosas más prioritarias que solucionar.  sarcasmo."
17790,sarcasm,<mention> <mention> <mention> El número 19. Pero esperemos que después de la marcha del 26 ya no haya asesinatos. <hashtags>
19443,sarcasm,Gracias por estar ahi cuando más te necesito. <hashtags>
17189,sarcasm,"Tenés cara que cuando pones un tuit ""sarcástico"", lo identificas con el hashtag  sarcasmo."
579,fact,"Sol naranja en Bretaña, cielo oscuro en Londres, el viento golpea las costas británicas; 3 muertos por la tormenta Ophelia en Irlanda <hashtags> <pic>"
14460,fact,Mueren tres palestinos y la madre de un miliciano en una incursión israelí en Gaza: Soldados del Ejército.. <link>
8044,fact,El 'valijagate' sigue dando disgustos a Cristina Fernández: El escándalo de la maleta llena de miles de d.. <link>
8423,fact,"Seis premios Nobel apoyan a Saviano: El escritor italiano Roberto Saviano, amenazado de muerte por la maf.. <link>"
2185,fact,"Francisco: Nuestra fe siempre es revolucionaria, ese es nuestro más profundo y constante grito <hashtags>"
26032,sarcasm,IAnahi porque me laten las anorexicas sin talento feas y horribles <hashtags>
9102,fact,Nadal saca a España por la puerta grande: Ya no importa que el partido de Feliciano López termine con der.. <link>
638,fact,"Sánchez: ""Urnas sin garantías, insolidaridad territorial, fuga de empresas: La izquierda nada tiene que ver con el secesionismo en Cataluña <pic>"
15073,sarcasm,Como que ya me estoy convenciendo ¡¡¡VIVA  AMLO!!! <mention> Ya me vi . Léase en tono <hashtags> <pic>
11016,fact,"EP Noruega abre la puerta al matrimonio gay por la Iglesia: La Iglesia Luterana de Noruega, de carácter.. <link>"
10596,fact,"EP Aragonés analiza a los jugadores alemanes: El seleccionador nacional, Luis Aragonés, ha dedicado la .. <link>"
5337,fact,El Likud gobernará con la extrema derecha de Lieberman: Israel está cada vez más cerca de aclarar su futuro gube.. <link>
25521,sarcasm,No creo que Sor Juana Inès hiciera versos tan bellos como los que hace Ricardo Arjona (  Sarcasmo )
19915,sarcasm,"Doña Laura, ¿diálogo? Por eso ahora los ciudadanos NUNCA tenemos que tirarnos a la calle... <hashtags>"
9342,fact,"EP De vuelta a los orígenes: construir con adobe: Petra Jebens-Zirkel, arquitecta de 55 años y de orige.. <link>"
7547,fact,Castilla y León regula el derecho de los hijos adoptados a conocer a sus padres biológicos: A partir de h.. <link>
8036,fact,"Obama ganaría también en Virginia, según los sondeos: La larga y apasionante carrera para suceder a Georg.. <link>"
24059,sarcasm,GODOY TOSCANO te invita a votar x Encinas para detener la delincuencia <hashtags>
6502,fact,"""Vamos a mandarte en una bolsa de plástico a tu país"": Una voz temblorosa, entrecortada, producto del miedo, con.. <link>"
19025,sarcasm,"Cuando te sientas solo, recuerda que hay gente que llama a las estaciones de radio para que les manden saludos. <hashtags>"
17272,sarcasm,Inhabilitar a <mention> y luego a <mention> debe responder a un asunto de paridad de género <hashtags>
25812,sarcasm,"CNE: No se vayan a sentir presionados, ni nada. Tranquilos. <hashtags>"
779,fact,Nos sumamos al clamor social para pedir a las autoridades acciones para detener los crímenes. Comparte y usa el hashtag  NoMásViolencia. <pic>
628,fact,Así luce la calle 72 con Caracas tras fuerte granizada. Video: Red de Apoyo - NOTIRED <pic>
1375,fact,<mention> No puede hablarse de fraude si el mismo CNE verificó las firmas | <mention> <hashtags>
7194,fact,Pocos compromisos y muchas obligaciones: Detrás de las colinas de Clyde Valley se esconde el liderato en el grup.. <link>
